epoch,error_hedge_2,error_hedge_inf
0,0.0165,0.6516,0.0165
1,0.0049,0.4057,0.0049
2,0.0003,0.1505,0.0003
3,0.0002,0.1082,0.0002
4,0.0001,0.0582,0.0001
5,0.0001,0.0589,0.0001
6,0.0000,0.0502,0.0000
7,0.0000,0.0507,0.0000
8,0.0000,0.0462,0.0000
9,0.0000,0.0502,0.0000
10,0.0000,0.0485,0.0000
11,0.0000,0.0523,0.0000
12,0.0000,0.0511,0.0000
13,0.0000,0.0545,0.0000
14,0.0000,0.0527,0.0000
15,0.0000,0.0553,0.0000
16,0.0000,0.0529,0.0000
17,0.0000,0.0544,0.0000
18,0.0000,0.0495,0.0000
19,0.0000,0.0504,0.0000
20,0.0000,0.0459,0.0000
21,0.0000,0.0467,0.0000
22,0.0000,0.0430,0.0000
23,0.0000,0.0438,0.0000
24,0.0000,0.0405,0.0000
25,0.0000,0.0414,0.0000
26,0.0000,0.0384,0.0000
27,0.0000,0.0393,0.0000
28,0.0000,0.0364,0.0000
29,0.0000,0.0375,0.0000
30,0.0000,0.0342,0.0000
31,0.0000,0.0357,0.0000
32,0.0000,0.0325,0.0000
33,0.0000,0.0330,0.0000
34,0.0000,0.0296,0.0000
35,0.0000,0.0303,0.0000
36,0.0000,0.0285,0.0000
37,0.0000,0.0291,0.0000
38,0.0000,0.0244,0.0000
39,0.0000,0.0253,0.0000
40,0.0000,0.0244,0.0000
41,0.0000,0.0251,0.0000
42,0.0000,0.0253,0.0000
43,0.0000,0.0257,0.0000
44,0.0000,0.0223,0.0000
45,0.0000,0.0229,0.0000
46,0.0000,0.0218,0.0000
47,0.0000,0.0221,0.0000
48,0.0000,0.0213,0.0000
49,0.0000,0.0217,0.0000
0,0.0108,0.5624,0.0108
1,0.0034,0.3761,0.0034
2,0.0003,0.1406,0.0003
3,0.0003,0.1053,0.0003
4,0.0001,0.0588,0.0001
5,0.0001,0.0529,0.0001
6,0.0001,0.0430,0.0001
7,0.0000,0.0466,0.0000
8,0.0000,0.0432,0.0000
9,0.0000,0.0454,0.0000
10,0.0000,0.0410,0.0000
11,0.0000,0.0430,0.0000
12,0.0000,0.0403,0.0000
13,0.0000,0.0419,0.0000
14,0.0000,0.0373,0.0000
15,0.0000,0.0389,0.0000
16,0.0000,0.0351,0.0000
17,0.0000,0.0364,0.0000
18,0.0000,0.0358,0.0000
19,0.0000,0.0367,0.0000
20,0.0000,0.0360,0.0000
21,0.0000,0.0369,0.0000
22,0.0000,0.0376,0.0000
23,0.0000,0.0381,0.0000
24,0.0000,0.0354,0.0000
25,0.0000,0.0359,0.0000
26,0.0000,0.0376,0.0000
27,0.0000,0.0380,0.0000
28,0.0000,0.0358,0.0000
29,0.0000,0.0362,0.0000
30,0.0000,0.0339,0.0000
31,0.0000,0.0343,0.0000
32,0.0000,0.0334,0.0000
33,0.0000,0.0337,0.0000
34,0.0000,0.0345,0.0000
35,0.0000,0.0346,0.0000
36,0.0000,0.0356,0.0000
37,0.0000,0.0354,0.0000
38,0.0000,0.0330,0.0000
39,0.0000,0.0331,0.0000
40,0.0000,0.0340,0.0000
41,0.0000,0.0340,0.0000
42,0.0000,0.0314,0.0000
43,0.0000,0.0315,0.0000
44,0.0000,0.0309,0.0000
45,0.0000,0.0311,0.0000
46,0.0000,0.0319,0.0000
47,0.0000,0.0318,0.0000
48,0.0000,0.0324,0.0000
49,0.0000,0.0322,0.0000
0,0.0118,0.5706,0.0118
1,0.0028,0.3290,0.0028
2,0.0002,0.1193,0.0002
3,0.0002,0.1317,0.0002
4,0.0001,0.0662,0.0001
5,0.0001,0.0650,0.0001
6,0.0000,0.0524,0.0000
7,0.0000,0.0528,0.0000
8,0.0000,0.0466,0.0000
9,0.0000,0.0500,0.0000
10,0.0000,0.0480,0.0000
11,0.0000,0.0482,0.0000
12,0.0000,0.0456,0.0000
13,0.0000,0.0459,0.0000
14,0.0000,0.0447,0.0000
15,0.0000,0.0451,0.0000
16,0.0000,0.0420,0.0000
17,0.0000,0.0425,0.0000
18,0.0000,0.0416,0.0000
19,0.0000,0.0423,0.0000
20,0.0000,0.0378,0.0000
21,0.0000,0.0398,0.0000
22,0.0000,0.0337,0.0000
23,0.0000,0.0353,0.0000
24,0.0000,0.0308,0.0000
25,0.0000,0.0322,0.0000
26,0.0000,0.0276,0.0000
27,0.0000,0.0287,0.0000
28,0.0000,0.0289,0.0000
29,0.0000,0.0294,0.0000
30,0.0000,0.0286,0.0000
31,0.0000,0.0285,0.0000
32,0.0000,0.0297,0.0000
33,0.0000,0.0297,0.0000
34,0.0000,0.0290,0.0000
35,0.0000,0.0291,0.0000
36,0.0000,0.0267,0.0000
37,0.0000,0.0271,0.0000
38,0.0000,0.0258,0.0000
39,0.0000,0.0263,0.0000
40,0.0000,0.0266,0.0000
41,0.0000,0.0268,0.0000
42,0.0000,0.0260,0.0000
43,0.0000,0.0262,0.0000
44,0.0000,0.0253,0.0000
45,0.0000,0.0255,0.0000
46,0.0000,0.0246,0.0000
47,0.0000,0.0248,0.0000
48,0.0000,0.0235,0.0000
49,0.0000,0.0239,0.0000
0,0.0163,0.6527,0.0163
1,0.0047,0.4243,0.0047
2,0.0003,0.1361,0.0003
3,0.0002,0.1195,0.0002
4,0.0001,0.0670,0.0001
5,0.0001,0.0615,0.0001
6,0.0000,0.0531,0.0000
7,0.0000,0.0525,0.0000
8,0.0000,0.0505,0.0000
9,0.0000,0.0510,0.0000
10,0.0000,0.0499,0.0000
11,0.0000,0.0503,0.0000
12,0.0000,0.0468,0.0000
13,0.0000,0.0473,0.0000
14,0.0000,0.0409,0.0000
15,0.0000,0.0429,0.0000
16,0.0000,0.0396,0.0000
17,0.0000,0.0416,0.0000
18,0.0000,0.0408,0.0000
19,0.0000,0.0423,0.0000
20,0.0000,0.0408,0.0000
21,0.0000,0.0404,0.0000
22,0.0000,0.0376,0.0000
23,0.0000,0.0387,0.0000
24,0.0000,0.0377,0.0000
25,0.0000,0.0386,0.0000
26,0.0000,0.0340,0.0000
27,0.0000,0.0346,0.0000
28,0.0000,0.0314,0.0000
29,0.0000,0.0319,0.0000
30,0.0000,0.0297,0.0000
31,0.0000,0.0304,0.0000
32,0.0000,0.0283,0.0000
33,0.0000,0.0289,0.0000
34,0.0000,0.0284,0.0000
35,0.0000,0.0291,0.0000
36,0.0000,0.0300,0.0000
37,0.0000,0.0293,0.0000
38,0.0000,0.0293,0.0000
39,0.0000,0.0295,0.0000
40,0.0000,0.0286,0.0000
41,0.0000,0.0289,0.0000
42,0.0000,0.0276,0.0000
43,0.0000,0.0280,0.0000
44,0.0000,0.0264,0.0000
45,0.0000,0.0267,0.0000
46,0.0000,0.0260,0.0000
47,0.0000,0.0259,0.0000
48,0.0000,0.0264,0.0000
49,0.0000,0.0266,0.0000
0,0.0140,0.6124,0.0140
1,0.0045,0.4953,0.0045
2,0.0006,0.2104,0.0006
3,0.0006,0.1980,0.0006
4,0.0003,0.1448,0.0003
5,0.0003,0.1312,0.0003
6,0.0003,0.1293,0.0003
7,0.0003,0.1270,0.0003
8,0.0003,0.1320,0.0003
9,0.0003,0.1314,0.0003
10,0.0003,0.1363,0.0003
11,0.0003,0.1356,0.0003
12,0.0003,0.1399,0.0003
13,0.0003,0.1365,0.0003
14,0.0003,0.1393,0.0003
15,0.0003,0.1406,0.0003
16,0.0003,0.1427,0.0003
17,0.0003,0.1387,0.0003
18,0.0003,0.1405,0.0003
19,0.0003,0.1418,0.0003
20,0.0003,0.1429,0.0003
21,0.0003,0.1403,0.0003
22,0.0003,0.1413,0.0003
23,0.0003,0.1404,0.0003
24,0.0003,0.1409,0.0003
25,0.0003,0.1391,0.0003
26,0.0003,0.1391,0.0003
27,0.0003,0.1389,0.0003
28,0.0003,0.1388,0.0003
29,0.0003,0.1419,0.0003
30,0.0003,0.1422,0.0003
31,0.0003,0.1384,0.0003
32,0.0003,0.1381,0.0003
33,0.0003,0.1364,0.0003
34,0.0003,0.1362,0.0003
35,0.0003,0.1375,0.0003
36,0.0003,0.1376,0.0003
37,0.0003,0.1373,0.0003
38,0.0003,0.1372,0.0003
39,0.0003,0.1383,0.0003
40,0.0003,0.1384,0.0003
41,0.0003,0.1356,0.0003
42,0.0003,0.1351,0.0003
43,0.0003,0.1362,0.0003
44,0.0003,0.1366,0.0003
45,0.0003,0.1371,0.0003
46,0.0003,0.1371,0.0003
47,0.0003,0.1342,0.0003
48,0.0003,0.1340,0.0003
49,0.0003,0.1338,0.0003
0,0.0093,0.6386,0.0093
1,0.0036,0.4449,0.0036
2,0.0006,0.2273,0.0006
3,0.0003,0.1618,0.0003
